Exporter,Importer,Value
United States of America,Comoros,691.0
Sri Lanka,Australia,691.0
Pakistan,Latvia,690.0
Greece,Saudi Arabia,690.0
Cambodia,"China, Macao SAR",690.0
United States of America,Guinea-Bissau,689.0
Netherlands,Maldives,689.0
Slovenia,Ukraine,688.0
Costa Rica,Venezuela (Bolivarian Republic of),688.0
Spain,Niger,688.0
Mexico,Panama,687.0
Egypt,Bulgaria,687.0
Turkey,Netherlands,684.0
United Kingdom,Georgia,683.0
United States of America,Lao People's Democratic Republic,683.0
United Kingdom,Brazil,683.0
Costa Rica,Colombia,681.0
Hungary,Estonia,681.0
Hungary,United Arab Emirates,681.0
United States of America,Montserrat,678.0
United Arab Emirates,Gambia,676.0
Iceland,Japan,676.0
United Arab Emirates,Seychelles,676.0
Philippines,Kuwait,674.0
Netherlands,Guinea,673.0
Canada,British Virgin Islands,672.0
Netherlands,Ethiopia,671.0
Viet Nam,Bahrain,671.0
"China, mainland",Kuwait,671.0
Bosnia and Herzegovina,Croatia,671.0
Belgium,Jordan,670.0
United Kingdom,Togo,669.0
Malta,Italy,667.0
South Africa,Congo,665.0
Germany,Pakistan,665.0
Egypt,Saudi Arabia,664.0
India,Ireland,661.0
United States of America,Bulgaria,661.0
Tunisia,Ethiopia,660.0
Russian Federation,Slovenia,660.0
Cambodia,Senegal,660.0
Denmark,Serbia,659.0
Belgium,Central African Republic,658.0
Colombia,Guatemala,658.0
Bulgaria,Kazakhstan,656.0
Jordan,Liberia,656.0
Japan,Viet Nam,655.0
Cambodia,"China, Taiwan Province of",655.0
New Zealand,India,654.0
Sweden,Australia,654.0
Oman,Yemen,650.0
Côte d'Ivoire,Cameroon,650.0
India,Comoros,649.0
Iran (Islamic Republic of),Saudi Arabia,649.0
Niger,Viet Nam,649.0
Greece,Oman,649.0
Yemen,Bahrain,648.0
Ireland,Australia,648.0
Latvia,"China, Taiwan Province of",646.0
Thailand,Greece,646.0
New Zealand,Israel,644.0
Brazil,Bermuda,643.0
Cambodia,Ghana,642.0
Spain,Sierra Leone,640.0
Italy,"China, Taiwan Province of",640.0
New Zealand,Kiribati,640.0
Brazil,Belarus,639.0
Netherlands,Seychelles,639.0
"China, Taiwan Province of",Canada,638.0
United Arab Emirates,Syrian Arab Republic,638.0
Argentina,Haiti,637.0
Germany,Madagascar,636.0
Guyana,Suriname,636.0
Argentina,Bulgaria,636.0
Singapore,"China, Taiwan Province of",635.0
Germany,Comoros,634.0
Ukraine,Qatar,634.0
Uruguay,Cyprus,634.0
Italy,Nigeria,633.0
Brazil,Guinea-Bissau,633.0
"China, Taiwan Province of",Japan,632.0
Italy,New Zealand,629.0
Chile,Belarus,629.0
United Kingdom,Libya,627.0
Poland,Democratic Republic of the Congo,627.0
Uruguay,Angola,627.0
Zambia,Angola,626.0
Mauritius,United Arab Emirates,626.0
New Zealand,Bulgaria,621.0
Singapore,Oman,621.0
Azerbaijan,Afghanistan,620.0
Australia,Côte d'Ivoire,620.0
Costa Rica,"China, Hong Kong SAR",620.0
Belgium,French Polynesia,619.0
Belgium,Comoros,619.0
Falkland Islands (Malvinas),Denmark,619.0
Slovenia,Libya,619.0
France,Jamaica,618.0
Poland,Armenia,617.0
Poland,Albania,617.0
Cambodia,Slovenia,615.0
Ireland,Slovakia,613.0
United Kingdom,Falkland Islands (Malvinas),613.0
Republic of Korea,Malaysia,612.0
Saudi Arabia,"China, Hong Kong SAR",612.0
Germany,"China, Macao SAR",612.0
Lebanon,Liberia,612.0
Argentina,Gabon,611.0
Belgium,India,611.0
Jordan,Qatar,610.0
Denmark,Maldives,609.0
Norway,Belgium,609.0
Argentina,Romania,608.0
Georgia,Kazakhstan,608.0
Kuwait,Jordan,608.0
Bulgaria,Azerbaijan,607.0
Mexico,Pakistan,606.0
Chile,Hungary,606.0
Serbia,Iran (Islamic Republic of),606.0
Ukraine,Mali,605.0
Canada,Armenia,605.0
Slovakia,Gabon,605.0
Ecuador,Colombia,605.0
Argentina,Mali,604.0
South Africa,Qatar,603.0
Brazil,Zimbabwe,600.0
Netherlands,Sudan,599.0
Germany,Turkmenistan,598.0
Spain,Mauritius,597.0
Serbia,United Kingdom,596.0
"China, mainland",Cambodia,596.0
Oman,Kuwait,595.0
Kazakhstan,United States of America,595.0
Namibia,Angola,595.0
Belarus,Republic of Moldova,595.0
Sweden,Switzerland,594.0
Brazil,Zambia,594.0
Australia,Senegal,593.0
Argentina,Eritrea,593.0
Slovenia,Romania,593.0
Spain,Oman,591.0
Finland,Thailand,591.0
Australia,Angola,588.0
Peru,"China, mainland",587.0
"China, Hong Kong SAR",Singapore,587.0
New Zealand,Poland,587.0
Portugal,Denmark,586.0
Germany,Equatorial Guinea,586.0
Thailand,Nepal,585.0
United States of America,Tuvalu,584.0
Iran (Islamic Republic of),Armenia,584.0
Italy,Lao People's Democratic Republic,584.0
Zambia,Namibia,583.0
Cambodia,Mauritania,583.0
Netherlands,Mali,583.0
Turkey,Romania,583.0
Venezuela (Bolivarian Republic of),Zambia,582.0
Turkey,Kazakhstan,581.0
Paraguay,Singapore,581.0
Australia,Benin,580.0
Canada,Croatia,580.0
Malaysia,"China, Macao SAR",578.0
Netherlands,Syrian Arab Republic,578.0
Egypt,Italy,577.0
Chile,Angola,577.0
"China, mainland",Lebanon,576.0
United Kingdom,Dominica,575.0
Slovenia,Djibouti,574.0
Slovenia,Poland,573.0
Colombia,Viet Nam,573.0
"China, mainland",Brunei Darussalam,572.0
United Arab Emirates,Ghana,571.0
"China, mainland",Spain,571.0
Greece,Finland,570.0
North Macedonia,Slovenia,570.0
Greece,Slovakia,568.0
Poland,Mauritania,568.0
Bahrain,Philippines,567.0
Fiji,Vanuatu,566.0
Cambodia,Denmark,564.0
Ukraine,India,563.0
Kazakhstan,Ukraine,563.0
United Arab Emirates,Comoros,562.0
Malta,Israel,561.0
Italy,Mauritania,559.0
United States of America,Seychelles,558.0
Viet Nam,United Kingdom,557.0
Pakistan,Equatorial Guinea,557.0
Russian Federation,France,555.0
United Kingdom,New Zealand,553.0
Netherlands,Turkmenistan,552.0
Russian Federation,Serbia,549.0
Finland,France,549.0
Germany,Liberia,548.0
Turkey,Ukraine,548.0
Australia,Saint Lucia,547.0
Netherlands,Guinea-Bissau,547.0
Jordan,India,546.0
Italy,Montenegro,546.0
Dominican Republic,Bahamas,545.0
Turkey,Kenya,545.0
Cambodia,Canada,545.0
United Kingdom,Zambia,544.0
Bulgaria,Poland,543.0
Singapore,Myanmar,543.0
Ireland,Cyprus,543.0
Belize,Guyana,542.0
"China, mainland",Mauritania,542.0
Saudi Arabia,Mauritania,542.0
Portugal,Gambia,541.0
Belgium,Sao Tome and Principe,540.0
France,Saint Lucia,537.0
Poland,Côte d'Ivoire,536.0
Cambodia,Norway,535.0
Viet Nam,Niger,534.0
Thailand,Bosnia and Herzegovina,534.0
Turkey,Afghanistan,534.0
Pakistan,Bulgaria,534.0
United Kingdom,Syrian Arab Republic,532.0
Singapore,Brunei Darussalam,531.0
Thailand,Zambia,531.0
United Kingdom,British Virgin Islands,530.0
Myanmar,Lithuania,529.0
New Zealand,Angola,528.0
Italy,Latvia,528.0
New Zealand,Libya,528.0
Turkey,Albania,527.0
France,Guatemala,527.0
United Kingdom,Lithuania,526.0
Brazil,South Sudan,526.0
"China, mainland",Bahamas,526.0
Paraguay,"China, Hong Kong SAR",526.0
Japan,"China, Macao SAR",524.0
Denmark,Argentina,523.0
Saudi Arabia,India,522.0
Italy,Estonia,521.0
Portugal,Slovakia,521.0
India,Sao Tome and Principe,519.0
Paraguay,Israel,519.0
Iraq,Turkey,517.0
Ireland,Malta,517.0
Mexico,Honduras,515.0
Zambia,Eswatini,515.0
Norway,United Kingdom,515.0
El Salvador,Nicaragua,512.0
Argentina,Australia,512.0
Philippines,Malaysia,512.0
Canada,Kyrgyzstan,511.0
Denmark,Luxembourg,511.0
"China, mainland",Belgium,510.0
Ireland,Bulgaria,509.0
Brazil,Norway,508.0
Portugal,Italy,507.0
Singapore,"China, mainland",507.0
Poland,"China, Taiwan Province of",506.0
Myanmar,Ukraine,505.0
Netherlands,Turkey,505.0
Argentina,South Sudan,505.0
Cyprus,Serbia,504.0
Chile,Panama,503.0
United States of America,Iceland,503.0
Portugal,Israel,503.0
United Kingdom,Belarus,503.0
Republic of Moldova,Hungary,501.0
Egypt,Azerbaijan,500.0
Latvia,Slovakia,500.0
Peru,Germany,499.0
"China, mainland",Niger,499.0
Turkey,Norway,498.0
Norway,Thailand,498.0
Slovenia,Denmark,497.0
Viet Nam,Congo,496.0
France,Cambodia,496.0
Cambodia,Croatia,495.0
Indonesia,"China, Macao SAR",495.0
Bolivia (Plurinational State of),Colombia,493.0
Nigeria,Benin,493.0
Hungary,Morocco,492.0
Zimbabwe,Mozambique,491.0
Serbia,Iraq,491.0
Philippines,Qatar,490.0
Cambodia,Iraq,489.0
France,Chad,489.0
Argentina,Argentina,489.0
Singapore,Australia,488.0
Greece,Serbia,488.0
Egypt,Lebanon,487.0
Italy,South Africa,487.0
Finland,Japan,487.0
Switzerland,Serbia,486.0
Poland,Syrian Arab Republic,486.0
United States of America,Kiribati,486.0
United States of America,Finland,485.0
Austria,United States of America,485.0
Italy,Singapore,484.0
"China, Taiwan Province of",South Africa,484.0
Italy,Central African Republic,484.0
Thailand,Libya,484.0
Mexico,Republic of Korea,484.0
France,Pakistan,484.0
Mexico,Colombia,483.0
Belgium,Nigeria,482.0
Togo,Benin,482.0
New Zealand,Bermuda,481.0
Turkey,Guinea,481.0
Turkey,Mauritania,481.0
"China, mainland",Solomon Islands,480.0
North Macedonia,Bosnia and Herzegovina,480.0
Estonia,Bulgaria,479.0
Netherlands,Jordan,478.0
Germany,Uzbekistan,478.0
Pakistan,Libya,477.0
Lesotho,South Africa,477.0
Ireland,Zambia,477.0
Denmark,Georgia,476.0
Qatar,United Arab Emirates,476.0
Italy,Mexico,475.0
Ireland,Romania,474.0
Fiji,Tuvalu,473.0
Spain,Mali,471.0
New Zealand,Niue,470.0
Chile,Belgium,470.0
Bulgaria,"China, Hong Kong SAR",468.0
Ukraine,Bahrain,468.0
Iran (Islamic Republic of),Tajikistan,468.0
Indonesia,Bangladesh,467.0
Italy,Chile,467.0
France,Myanmar,467.0
Costa Rica,United States of America,467.0
Philippines,United Arab Emirates,466.0
Slovakia,Lithuania,466.0
Eswatini,Mozambique,466.0
Brazil,Cameroon,464.0
India,Armenia,464.0
Thailand,Namibia,464.0
Saudi Arabia,Philippines,463.0
"China, mainland",Lao People's Democratic Republic,462.0
Malaysia,Philippines,462.0
Estonia,Austria,462.0
Nicaragua,Dominican Republic,461.0
Netherlands,Saint Lucia,461.0
Uruguay,Qatar,460.0
Australia,Denmark,460.0
Hungary,Kazakhstan,458.0
"China, mainland",Italy,458.0
Turkey,Pakistan,457.0
Pakistan,Tajikistan,456.0
Lebanon,Qatar,455.0
South Africa,"Saint Helena, Ascension and Tristan da Cunha",455.0
Peru,Chile,454.0
Lithuania,Kazakhstan,454.0
New Zealand,Cambodia,454.0
Viet Nam,Kuwait,453.0
Belarus,Kyrgyzstan,452.0
Uruguay,Malaysia,451.0
Namibia,Belgium,450.0
Germany,Aruba,450.0
Spain,Iceland,449.0
Portugal,Congo,449.0
United Republic of Tanzania,Oman,448.0
France,India,446.0
Ukraine,Canada,446.0
Ukraine,Serbia,445.0
Viet Nam,Kiribati,445.0
Bahrain,United Arab Emirates,444.0
Australia,Cook Islands,444.0
Brazil,United Republic of Tanzania,444.0
Germany,Haiti,443.0
India,Gabon,443.0
France,Uganda,442.0
Spain,Sao Tome and Principe,442.0
France,Suriname,442.0
United Arab Emirates,Mauritania,441.0
Kazakhstan,Latvia,441.0
"China, Hong Kong SAR",Jamaica,441.0
Thailand,Malta,440.0
Poland,Kyrgyzstan,440.0
South Africa,Canada,440.0
Poland,Singapore,439.0
Jordan,Bahrain,439.0
Germany,Bahamas,438.0
Brazil,Niger,438.0
Argentina,Liberia,436.0
Uruguay,Maldives,436.0
North Macedonia,Montenegro,435.0
New Zealand,Brazil,435.0
Sweden,Austria,435.0
Turkey,Gabon,434.0
Austria,Latvia,434.0
Zimbabwe,Nigeria,433.0
Austria,Libya,433.0
Suriname,Aruba,433.0
Niger,Pakistan,432.0
Tajikistan,Kazakhstan,432.0
Ethiopia,Kenya,431.0
Belarus,Tajikistan,431.0
Ukraine,Ghana,430.0
Brazil,Sri Lanka,428.0
Mexico,Benin,428.0
Uruguay,Guatemala,427.0
Ukraine,Congo,427.0
Hungary,Armenia,427.0
Ireland,Austria,426.0
South Africa,Rwanda,425.0
Italy,India,425.0
Greece,Lebanon,425.0
"China, Hong Kong SAR",United Kingdom,424.0
Belgium,Albania,423.0
Peru,Angola,423.0
Georgia,United Arab Emirates,423.0
France,Armenia,423.0
Denmark,Cambodia,422.0
Sri Lanka,Madagascar,422.0
"China, mainland",New Zealand,421.0
India,Mali,421.0
India,Albania,421.0
Ukraine,Czechia,420.0
Malaysia,Gambia,420.0
Japan,United States of America,419.0
Ecuador,Peru,417.0
Lithuania,Zimbabwe,414.0
Sweden,Gabon,414.0
Netherlands,Cameroon,413.0
Cuba,Oman,412.0
"China, mainland",Marshall Islands,410.0
Cambodia,New Zealand,410.0
Germany,Afghanistan,409.0
United Kingdom,Democratic Republic of the Congo,408.0
United Kingdom,Croatia,408.0
Hungary,Libya,408.0
Falkland Islands (Malvinas),Spain,408.0
Israel,United Kingdom,407.0
United Kingdom,Ecuador,407.0
El Salvador,"China, Hong Kong SAR",406.0
Uruguay,Republic of Korea,405.0
South Africa,Sri Lanka,405.0
India,Trinidad and Tobago,404.0
Viet Nam,Bulgaria,404.0
Thailand,Northern Mariana Islands,403.0
Malawi,Zambia,403.0
Australia,Timor-Leste,402.0
Sudan,Oman,402.0
Mauritius,Zambia,401.0
Belgium,Brunei Darussalam,400.0
Israel,Germany,400.0
Panama,Israel,400.0
Uruguay,Sweden,399.0
Chile,Liberia,399.0
Italy,Iceland,399.0
Peru,Italy,398.0
Viet Nam,Senegal,398.0
Colombia,Belize,398.0
France,Bahamas,398.0
Japan,United Kingdom,398.0
Germany,New Zealand,397.0
Malawi,Uganda,396.0
Viet Nam,Republic of Moldova,396.0
Germany,Armenia,395.0
Madagascar,France,395.0
Ireland,Estonia,395.0
Argentina,Iran (Islamic Republic of),394.0
South Africa,Democratic People's Republic of Korea,394.0
Belarus,Azerbaijan,394.0
Singapore,Viet Nam,393.0
Spain,Gambia,392.0
United States of America,Croatia,391.0
Slovenia,Thailand,390.0
United Kingdom,Armenia,389.0
Canada,Honduras,389.0
Thailand,Mali,388.0
Poland,Mozambique,388.0
Myanmar,Chile,388.0
France,Sao Tome and Principe,387.0
New Zealand,Egypt,387.0
Bahrain,Saudi Arabia,387.0
United States of America,Cyprus,387.0
Peru,Haiti,384.0
Bangladesh,Thailand,384.0
Senegal,Liberia,384.0
South Africa,India,383.0
Italy,Somalia,383.0
United Kingdom,Namibia,381.0
South Africa,Malaysia,381.0
Georgia,Iraq,381.0
Republic of Korea,United States of America,380.0
Germany,Kyrgyzstan,379.0
Colombia,United States of America,379.0
Poland,Equatorial Guinea,378.0
Netherlands,Republic of Moldova,378.0
Cyprus,"China, Hong Kong SAR",378.0
Italy,Qatar,377.0
"China, mainland",Burkina Faso,376.0
Saudi Arabia,France,376.0
Indonesia,Thailand,374.0
New Zealand,Iran (Islamic Republic of),374.0
Thailand,Democratic Republic of the Congo,373.0
Hungary,Lithuania,373.0
Brazil,Comoros,372.0
Czechia,Lithuania,371.0
Slovenia,Czechia,370.0
Ukraine,Cambodia,370.0
Portugal,Democratic Republic of the Congo,369.0
"China, mainland",Kiribati,369.0
Singapore,Gambia,367.0
Uruguay,Switzerland,366.0
New Zealand,Myanmar,366.0
Morocco,Côte d'Ivoire,366.0
Ethiopia,Israel,365.0
Paraguay,Kuwait,363.0
Netherlands,Armenia,363.0
Uruguay,Namibia,362.0
Finland,"China, Taiwan Province of",361.0
South Africa,Jordan,360.0
India,Kyrgyzstan,359.0
Australia,Guatemala,358.0
South Africa,Bahrain,356.0
Malaysia,Saudi Arabia,355.0
Germany,Togo,354.0
United Arab Emirates,Azerbaijan,354.0
Paraguay,United Kingdom,353.0
Argentina,North Macedonia,353.0
Slovakia,Jordan,353.0
Mongolia,Norway,353.0
Peru,Aruba,352.0
South Africa,South Africa,350.0
Croatia,Russian Federation,350.0
Brazil,Greenland,349.0
Luxembourg,Austria,349.0
Germany,Antigua and Barbuda,349.0
France,Dominican Republic,349.0
Austria,Kazakhstan,348.0
Bahrain,Kuwait,348.0
Lebanon,Congo,348.0
Poland,Angola,348.0
Poland,Bahamas,348.0
Hungary,Iraq,347.0
Cyprus,France,347.0
Canada,Gambia,347.0
Myanmar,Poland,346.0
Iran (Islamic Republic of),Turkmenistan,346.0
India,Democratic Republic of the Congo,346.0
India,Iceland,345.0
Argentina,Georgia,345.0
Turkey,Ghana,345.0
Republic of Korea,United Arab Emirates,344.0
"China, Hong Kong SAR",Canada,344.0
Croatia,Netherlands,343.0
Republic of Korea,Poland,342.0
Serbia,Georgia,341.0
New Zealand,Croatia,341.0
France,"China, Macao SAR",341.0
Chile,Cuba,340.0
Mexico,Israel,340.0
Viet Nam,Czechia,340.0
Montenegro,Serbia,340.0
Zimbabwe,Malawi,339.0
Kuwait,Liberia,339.0
Spain,Senegal,338.0
Thailand,Trinidad and Tobago,338.0
Romania,Malaysia,338.0
Netherlands,Yemen,338.0
Slovakia,Bosnia and Herzegovina,338.0
Netherlands,Albania,337.0
Cyprus,Netherlands,337.0
Finland,Malaysia,337.0
Italy,Luxembourg,337.0
Belgium,"China, Taiwan Province of",336.0
Ireland,Côte d'Ivoire,335.0
Germany,Kazakhstan,335.0
Slovakia,Latvia,335.0
Denmark,Malta,335.0
Myanmar,"China, Macao SAR",334.0
Belgium,Oman,333.0
Denmark,Oman,333.0
Germany,Kuwait,332.0
Brazil,Pakistan,332.0
Argentina,Bahamas,332.0
Japan,Thailand,332.0
Canada,Serbia,331.0
Bolivia (Plurinational State of),Chile,331.0
Belgium,Gambia,330.0
Chile,Argentina,330.0
Slovenia,"China, Hong Kong SAR",329.0
Slovakia,Belgium,329.0
Sierra Leone,Gambia,329.0
Kuwait,Brazil,329.0
Uruguay,French Polynesia,328.0
Belgium,Chad,328.0
Finland,Singapore,328.0
Eswatini,South Africa,327.0
Thailand,Aruba,327.0
Turkey,Niger,327.0
Brazil,Ethiopia,327.0
Thailand,Tunisia,327.0
Sweden,Hungary,326.0
"China, Hong Kong SAR",South Africa,326.0
Finland,Congo,325.0
Thailand,Suriname,325.0
United Kingdom,Antigua and Barbuda,325.0
Mexico,Chile,325.0
United Arab Emirates,Algeria,324.0
"China, Macao SAR","China, Hong Kong SAR",324.0
Switzerland,Singapore,323.0
United Arab Emirates,Cameroon,323.0
South Africa,Comoros,322.0
Saudi Arabia,Viet Nam,321.0
Indonesia,Brunei Darussalam,319.0
Bosnia and Herzegovina,Albania,319.0
Germany,Brunei Darussalam,319.0
Kenya,Qatar,318.0
Norway,Netherlands,318.0
Turkey,Croatia,317.0
Luxembourg,Denmark,317.0
Belgium,Aruba,317.0
Netherlands,India,317.0
Saudi Arabia,Nigeria,316.0
Cambodia,Greece,316.0
Uruguay,Finland,315.0
Hungary,Latvia,315.0
South Africa,Yemen,314.0
Denmark,Saudi Arabia,314.0
Chile,Democratic Republic of the Congo,314.0
Nicaragua,United States of America,313.0
South Africa,Mexico,313.0
Czechia,Latvia,312.0
Viet Nam,Bosnia and Herzegovina,310.0
Uganda,Burundi,310.0
Guyana,Italy,310.0
Chile,Ghana,310.0
Chile,Equatorial Guinea,309.0
Brazil,Anguilla,309.0
New Zealand,Faroe Islands,308.0
Australia,Spain,308.0
Republic of Moldova,Georgia,308.0
South Africa,Belgium,308.0
France,Guyana,307.0
New Zealand,Greenland,307.0
Côte d'Ivoire,Benin,307.0
Turkey,Mozambique,306.0
Uruguay,Oman,306.0
Austria,Canada,305.0
New Zealand,Estonia,304.0
Cameroon,Nigeria,304.0
Serbia,Slovakia,304.0
Turkey,Viet Nam,303.0
Canada,Albania,303.0
Ireland,Jamaica,303.0
Brazil,Cyprus,303.0
Republic of Korea,Russian Federation,302.0
United Arab Emirates,Czechia,302.0
Lithuania,"China, mainland",301.0
United Kingdom,Albania,301.0
Bolivia (Plurinational State of),Brazil,301.0
Guyana,Saint Kitts and Nevis,301.0
Republic of Moldova,British Virgin Islands,301.0
Turkey,Bulgaria,300.0
Algeria,Thailand,300.0
New Zealand,Norfolk Island,299.0
"China, mainland",Mauritius,298.0
United Kingdom,Pakistan,297.0
Portugal,Bulgaria,297.0
United States of America,Malta,296.0
Italy,Republic of Moldova,295.0
Argentina,Thailand,294.0
Denmark,Uruguay,294.0
New Zealand,Maldives,293.0
Myanmar,Slovakia,292.0
Guatemala,Honduras,291.0
Estonia,Belgium,291.0
Ukraine,Norway,291.0
New Zealand,Bahamas,291.0
Bulgaria,Slovakia,290.0
Bulgaria,Sweden,290.0
Cyprus,Slovenia,290.0
Egypt,Pakistan,289.0
Ukraine,Finland,289.0
Mexico,Brazil,288.0
Falkland Islands (Malvinas),Netherlands,288.0
Zimbabwe,Botswana,287.0
Spain,Qatar,286.0
France,Australia,286.0
Germany,Greenland,285.0
South Africa,Singapore,285.0
Sweden,Niger,285.0
Philippines,Israel,284.0
United Arab Emirates,Uganda,284.0
Finland,Malta,284.0
United Arab Emirates,Egypt,283.0
Argentina,Guinea,282.0
Spain,Lao People's Democratic Republic,282.0
Spain,Azerbaijan,281.0
Argentina,Bosnia and Herzegovina,280.0
Kuwait,Iran (Islamic Republic of),280.0
Japan,Senegal,280.0
Chile,Sierra Leone,280.0
Russian Federation,Liberia,280.0
"China, mainland",Nepal,280.0
Argentina,Côte d'Ivoire,279.0
Singapore,Lao People's Democratic Republic,279.0
Czechia,Gabon,279.0
Hungary,United States of America,278.0
Bangladesh,Kuwait,278.0
Guyana,Chile,276.0
Chile,Morocco,276.0
Argentina,Azerbaijan,276.0
Belgium,Japan,276.0
Singapore,Niger,275.0
Japan,Indonesia,274.0
France,Mexico,273.0
Pakistan,Serbia,273.0
Romania,Equatorial Guinea,270.0
Belgium,Lebanon,270.0
Finland,Georgia,270.0
Bangladesh,Australia,269.0
Republic of Moldova,Panama,269.0
Namibia,United Kingdom,269.0
Indonesia,Ethiopia,268.0
Myanmar,Jordan,267.0
Argentina,Trinidad and Tobago,267.0
Thailand,Liberia,267.0
Belgium,Antigua and Barbuda,267.0
United Kingdom,Jordan,267.0
Argentina,Seychelles,266.0
Argentina,El Salvador,266.0
Cambodia,Estonia,266.0
France,Azerbaijan,266.0
Germany,Dominican Republic,265.0
United Kingdom,Bahrain,264.0
Singapore,Republic of Korea,264.0
Belgium,United Republic of Tanzania,264.0
Spain,Ethiopia,263.0
Argentina,Guatemala,263.0
Iceland,Sweden,263.0
Greece,Lithuania,263.0
Belgium,Guyana,263.0
Austria,United Arab Emirates,263.0
Singapore,Brazil,262.0
Portugal,Jordan,261.0
Colombia,Peru,261.0
Denmark,Côte d'Ivoire,260.0
Belgium,Georgia,260.0
France,Sudan,260.0
United States of America,Gibraltar,259.0
Kuwait,Australia,259.0
Brazil,Mali,259.0
Viet Nam,Armenia,258.0
Australia,Antigua and Barbuda,255.0
Kazakhstan,Israel,255.0
Argentina,Hungary,254.0
Iraq,Georgia,254.0
Lebanon,Sao Tome and Principe,254.0
Paraguay,Costa Rica,253.0
Austria,Turkey,253.0
Germany,Saint Lucia,253.0
Germany,Qatar,252.0
United Arab Emirates,South Africa,252.0
"China, Taiwan Province of",Indonesia,252.0
Italy,Venezuela (Bolivarian Republic of),250.0
Turkey,Australia,248.0
Australia,Poland,248.0
Finland,Gabon,247.0
Argentina,Central African Republic,246.0
United Kingdom,Ethiopia,245.0
Spain,Seychelles,244.0
Germany,Cameroon,244.0
Hungary,French Polynesia,244.0
Egypt,Thailand,244.0
Austria,Angola,244.0
Malaysia,Viet Nam,244.0
Republic of Korea,New Zealand,243.0
Lithuania,Singapore,243.0
Uruguay,Afghanistan,243.0
Turkey,Yemen,242.0
South Africa,Israel,242.0
Republic of Korea,Singapore,241.0
United Arab Emirates,Thailand,241.0
Ireland,New Zealand,240.0
Lithuania,Uganda,240.0
Russian Federation,Austria,239.0
Croatia,Czechia,239.0
Costa Rica,Aruba,239.0
France,Central African Republic,239.0
Japan,Malaysia,239.0
Brazil,Sweden,239.0
Lao People's Democratic Republic,Austria,238.0
Australia,Sweden,238.0
South Africa,United States of America,238.0
Indonesia,Sao Tome and Principe,238.0
Bangladesh,United Kingdom,238.0
Sri Lanka,Italy,237.0
Ukraine,Slovakia,237.0
United Arab Emirates,Australia,236.0
Viet Nam,Zambia,236.0
Latvia,Romania,235.0
Portugal,Liberia,235.0
Portugal,Mali,235.0
Japan,Germany,235.0
United Kingdom,Myanmar,235.0
Germany,Argentina,235.0
Lao People's Democratic Republic,Denmark,234.0
Portugal,Libya,234.0
Barbados,United Kingdom,234.0
Luxembourg,Lebanon,234.0
Brazil,Uzbekistan,234.0
Latvia,United States of America,233.0
United Arab Emirates,Senegal,233.0
Latvia,Angola,233.0
Cyprus,Spain,232.0
Canada,Saint Pierre and Miquelon,232.0
Colombia,Israel,232.0
Egypt,Mauritania,232.0
Viet Nam,Switzerland,231.0
Cyprus,Belgium,231.0
France,Panama,231.0
Germany,Lebanon,231.0
United Kingdom,Saint Kitts and Nevis,230.0
Senegal,Gambia,230.0
Morocco,Algeria,230.0
Germany,Iraq,230.0
Morocco,Germany,229.0
United Arab Emirates,Singapore,229.0
Germany,Brazil,229.0
United Arab Emirates,Russian Federation,228.0
"China, Taiwan Province of",Cambodia,228.0
Finland,Canada,228.0
Philippines,Republic of Korea,226.0
Germany,Saint Vincent and the Grenadines,226.0
Finland,Hungary,226.0
Myanmar,Qatar,226.0
South Africa,Maldives,226.0
France,Saint Pierre and Miquelon,225.0
Italy,Mali,225.0
Brazil,New Zealand,224.0
Pakistan,Zambia,224.0
Australia,Guam,224.0
United States of America,Djibouti,224.0
Republic of Moldova,Myanmar,223.0
Egypt,Sweden,223.0
Belarus,Turkmenistan,222.0
Japan,Philippines,222.0
Luxembourg,Libya,222.0
Saudi Arabia,Egypt,221.0
Senegal,Benin,220.0
United Kingdom,Angola,220.0
Singapore,Saudi Arabia,220.0
Cyprus,Slovakia,219.0
New Zealand,Senegal,219.0
Finland,Greece,219.0
Singapore,United States of America,218.0
Ireland,Democratic Republic of the Congo,218.0
Pakistan,Austria,218.0
Fiji,French Polynesia,217.0
India,Croatia,217.0
Algeria,Libya,217.0
Trinidad and Tobago,Guyana,217.0
Turkey,Algeria,216.0
Sri Lanka,Switzerland,216.0
Russian Federation,Bulgaria,216.0
Georgia,Russian Federation,216.0
United Kingdom,Viet Nam,215.0
United Arab Emirates,Rwanda,215.0
Italy,Argentina,215.0
Australia,Saint Kitts and Nevis,215.0
Russian Federation,Equatorial Guinea,215.0
Turks and Caicos Islands,Zimbabwe,214.0
Guatemala,Costa Rica,214.0
"China, Taiwan Province of","China, Macao SAR",214.0
Pakistan,Brazil,213.0
Saudi Arabia,Malaysia,213.0
Hungary,Finland,213.0
Kenya,Canada,213.0
Slovenia,Albania,213.0
Gambia,Senegal,213.0
Ireland,Hungary,212.0
Greece,Austria,212.0
Netherlands,Haiti,212.0
Slovenia,Russian Federation,212.0
United Kingdom,Lebanon,212.0
Austria,New Zealand,212.0
Pakistan,Croatia,212.0
Pakistan,Bosnia and Herzegovina,211.0
Serbia,Republic of Moldova,211.0
Denmark,Azerbaijan,211.0
Bangladesh,Singapore,211.0
Poland,Tunisia,211.0
Sri Lanka,United States of America,211.0
Niger,Singapore,210.0
United Arab Emirates,Sweden,210.0
